,,,,,,,,,,,
ENTREGAS FLECHAS OPGW - ACAR1000 HMV-WSP,,,,,,,,,,,
,,,,,,,,,,,
TORRE,TORRE,TENDIDO,OPGW-ACAR1000,,,,,,,,
Portico,Pórtico,0,,,,,,,,,
T001,D6,INST,2025-10-27 00:00:00,,,,,,,,
T002,B4,INST,2025-10-27 00:00:00,,,,,,,,
T003,B4,INST,2025-10-27 00:00:00,,,,,,,,
T004,D4,INST,2025-10-27 00:00:00,,,,,,,,
T005,B5,INST,2025-10-27 00:00:00,,,,,,,,
T006,C5,INST,2025-10-28 00:00:00,2025-08-27 00:00:00,,,,,,,
T007,B5,CXT,2025-10-28 00:00:00,2025-08-27 00:00:00,,,,,,,
T008,B6,CXT,2025-10-28 00:00:00,2025-08-27 00:00:00,,,,,,,
T009,B4,CXT,2025-10-28 00:00:00,2025-08-27 00:00:00,,,,,,,
T010,B3,CXT,2025-10-28 00:00:00,2025-08-27 00:00:00,,,,,,,
T011,C7,CXT,2025-08-27 00:00:00,,,,,,,,
T012,B7,CXT,2025-08-27 00:00:00,,,,,,,,
T013,C2,CXT,,,,,,,,,
T014,B4,CXT,,,,,,,,,
T015,A7,CXT,,,,,,,,,
T016,A5,CXT,,,,,,,,,
T017,A5,CXT,,,,,,,,,
T018,B2,CXT,2025-08-27 00:00:00,,,,,,,,
T019,A6,CXT,2025-08-27 00:00:00,,,,,,,,
T020,A7,CXT,2025-08-27 00:00:00,,,,,,,,
T021,B2,CXT,,,,,,,,,
T022,C7,CXT,,,,,,,,,
T023,B7,CXT,,,,,,,,,
T024,B7,CXT,2025-10-26 00:00:00,,,,,,,,
T026,B3,HG,2025-10-26 00:00:00,,,,,,,,
T027,A6,HG,2025-10-26 00:00:00,,,,,,,,
T028,B5,HG,2025-10-26 00:00:00,,,,,,,,
T029,C4,HG,2025-10-26 00:00:00,,,,,,,,
T030,B7,HG,2025-10-26 00:00:00,,,,,,,,
T031,A7,HG,2025-10-26 00:00:00,,,,,,,,
T032,A6,HG,2025-10-26 00:00:00,,,,,,,,
T033,B6,HG,2025-10-26 00:00:00,,,,,,,,
T034,B4,HG,2025-10-26 00:00:00,,,,,,,,
T035,B4,HG,2025-10-25 00:00:00,,,,,,,,
T036,D2,HG,2025-10-25 00:00:00,,,,,,,,
T037,C2,HG,2025-10-25 00:00:00,,,,,,,,
T038,A3,HG,2025-10-25 00:00:00,,,,,,,,
T039,A3,HG,2025-10-25 00:00:00,,,,,,,,
T040,A4,HG,2025-10-25 00:00:00,,,,,,,,
T041,A4,HG,2025-10-25 00:00:00,,,,,,,,
T042,A3,HG,2025-10-25 00:00:00,,,,,,,,
T043,D5,HG,2025-10-24 00:00:00,,,,,,,,
T044,D5,HG,2025-10-24 00:00:00,,,,,,,,
T045,B7,HG,2025-10-24 00:00:00,,,,,,,,
T046,A7,HG,2025-10-24 00:00:00,,,,,,,,
T047,B7,HG,2025-10-24 00:00:00,,,,,,,,
T048,B6,HG,2025-10-24 00:00:00,,,,,,,,
T049,C5,HG,2025-10-24 00:00:00,,,,,,,,
T050,C5,HG,2025-10-24 00:00:00,,,,,,,,
T051,A4,HG,2025-10-24 00:00:00,,,,,,,,
T052,B6,HG,2025-10-23 00:00:00,,,,,,,,
T053,B7,HG,2025-10-23 00:00:00,,,,,,,,
T054,B4,HG,2025-10-23 00:00:00,,,,,,,,
T055,A4,HG,2025-10-23 00:00:00,,,,,,,,
T056,A5,HG,2025-10-23 00:00:00,,,,,,,,
T057,B3,HG,2025-10-22 00:00:00,,,,,,,,
T058,B3,HG,2025-10-22 00:00:00,,,,,,,,
T059,B2,HG,2025-10-22 00:00:00,,,,,,,,
T060,A7,HG,2025-10-22 00:00:00,,,,,,,,
T061,A60M,HG,2025-10-22 00:00:00,,,,,,,,
T062,B5,HG,2025-10-22 00:00:00,,,,,,,,
T063,AE,HG,2025-10-21 00:00:00,,,,,,,,
T064,AE,HG,2025-10-21 00:00:00,,,,,,,,
T065,D4,HG,2025-10-21 00:00:00,,,,,,,,
T066 Pórtico PDO,PORTICO ,0,,,,,,,,,
