,,,,,,,,,,,,
ENTREGAS FLECHAS OPGW - ACAR1000 HMV-WSP,,,,,,,,,,,,
,,,,,,,,,,,,
TORRE,TIPO,TENDIDO,CORRECCIONES,AVANCE CORRECCIONES,ENTREGAS OC-HMV,SEGUNDA VISITA,AVANCE ENTREGAS,FIRMA HMV,,,,
Portico,Pórtico,0,,,,,,,,,,
T001,D6,INST,2025-11-21 00:00:00,1,,2025-11-26 00:00:00,1,," torre (01) quedó 100% se hizo reparación puntas de diamante A B C D
resane de pedestales retoque de pintura y limpieza y sembrado de pasto en patio subestación  San Felipe CORREGIDO",,,
T002,B4,INST,,,2025-11-05 00:00:00,2025-11-25 00:00:00,1,SI,,Pintura Negra CORREGIDO 22/11/25,,
T003,B4,INST,2025-10-27 00:00:00,1,2025-11-05 00:00:00,2025-11-25 00:00:00,1,SI,PEDESTALES - CORREGIDO,Pintura Negra CORREGIDO 22/11/25,,
T004,D4,INST,2025-10-27 00:00:00,1,2025-11-05 00:00:00,2025-11-25 00:00:00,1,SI,REVEGETALIZACION - 70%,Pintura Negra CORREGIDO 22/11/25,,
T005,B5,INST,2025-10-27 00:00:00,1,2025-11-05 00:00:00,2025-11-25 00:00:00,1,SI,,Pintura Negra CORREGIDO 22/11/25,,
T006,C5,INST,2025-10-27 00:00:00,1,2025-11-05 00:00:00,2025-11-25 00:00:00,1,SI,,Pintura Negra CORREGIDO 22/11/25,,
T007,B5,CXT,2025-10-29 00:00:00,1,2025-11-05 00:00:00,2025-11-25 00:00:00,1,SI,torre 7 se hizo sembrado de pasto CORREGIDO 12/11/25,Pintura Negra CORREGIDO 22/11/25,,
T008,B6,CXT,2025-10-29 00:00:00,1,2025-11-05 00:00:00,2025-11-25 00:00:00,1,SI,,Pintura Negra CORREGIDO 22/11/25,,
T009,B4,CXT,2025-10-30 00:00:00,1,2025-11-05 00:00:00,2025-11-25 00:00:00,1,SI,,Pintura Negra CORREGIDO 22/11/25,,
T010,B3,CXT,2025-10-30 00:00:00,1,2025-11-05 00:00:00,2025-11-25 00:00:00,1,SI,torre (10) se organizo el borde y se hizo sembrado de pasto CORREGIDO 12/11/25,Pintura Negra CORREGIDO 22/11/25,,
T011,C7,CXT,2025-11-12 00:00:00,1,2025-11-25 00:00:00,,1,,torre ( 11 ) quedó 100% se hizo reparación puntas de diamante (A) y (D) y resane de pedestales también retoque de pintura en las (4) patas sembrado de pasto y relleno de huecos CORREGIDO,Pintura Negra CORREGIDO 22/11/25,,
T012,B7,CXT,2025-10-30 00:00:00,1,2025-11-05 00:00:00,2025-11-25 00:00:00,1,SI,,Pintura Negra CORREGIDO 22/11/25,,
T013,C2,CXT,2025-10-30 00:00:00,1,2025-11-05 00:00:00,2025-11-25 00:00:00,1,SI,REVEGETALIZACION - CORREGIDO,Pintura Negra CORREGIDO 23/11/26,,
T014,B4,CXT,2025-11-11 00:00:00,1,2025-11-25 00:00:00,,1,,,Pintura Negra CORREGIDO 23/11/26,,
T015,A7,CXT,2025-11-11 00:00:00,1,2025-11-25 00:00:00,,1,,,Pintura Negra CORREGIDO 23/11/26,,
T016,A5,CXT,2025-11-08 00:00:00,1,2025-11-25 00:00:00,,1,,,Pintura Negra CORREGIDO 23/11/26,,
T017,A5,CXT,2025-11-06 00:00:00,1,2025-11-25 00:00:00,,1,,,Pintura Negra CORREGIDO 23/11/26,,
T018,B2,CXT,2025-10-05 00:00:00,1,2025-11-25 00:00:00,,1,,,Pintura Negra CORREGIDO 23/11/26,,
T019,A6,CXT,2025-11-08 00:00:00,1,2025-11-25 00:00:00,,1,,,Pintura Negra CORREGIDO 23/11/26,,
T020,A7,CXT,2025-10-31 00:00:00,1,,2025-11-26 00:00:00,1,,,,,
T021,B2,CXT,2025-11-04 00:00:00,1,2025-11-05 00:00:00,2025-11-26 00:00:00,1,SI,,,,
T022,C7,CXT,2025-10-29 00:00:00,1,2025-11-05 00:00:00,2025-11-26 00:00:00,1,SI, (22) se hizo resane y lijado en la pata ( C ) CORREGIDO 13/11/25,,,
T023,B7,CXT,2025-10-29 00:00:00,1,2025-11-05 00:00:00,2025-11-26 00:00:00,1,SI,,,,
T024,B7,CXT,,1,2025-11-05 00:00:00,2025-11-26 00:00:00,1,SI, torre ( 24 ) quedo ( 100%) hicimos reparación de puntas de diamante patas (B) (C) y (D) y resane de pedestales se aplicó retoque de pintura y se reconformo terreno CORREGIDO 13/11/25,Pintura Negra CORREGIDO 19/11/25,,
T026,B3,HG,,1,2025-11-05 00:00:00,2025-11-26 00:00:00,1,SI,torre 26 quedó (100)% se reconformo terreno pata (A) y pata (D) CORREGIDO 14/11/25,Pintura Negra CORREGIDO 19/11/25,,
T027,A6,HG,2025-11-14 00:00:00,1,,2025-11-26 00:00:00,1,,torre 27 quedó 100% se realizó Resane de pedestales y retoque de pintura CORREGIDO 14/11/25,Pintura Negra CORREGIDO 19/11/25,,
T028,B5,HG,2025-11-14 00:00:00,1,,2025-11-26 00:00:00,1,,Torre 28 quedó 100% se reconformo terreno y se hizo Resane de pedestales y retoque de pintura CORREGIDO 14/11/25,Pintura Negra CORREGIDO 19/11/25,,
T029,C4,HG,2025-11-14 00:00:00,1,,2025-11-26 00:00:00,1,,Torre 29 quedó 100% se hizo resane de pedestales y retoque de pintura CORREGIDO 14/11/25,Pintura Negra CORREGIDO 19/11/25,,
